           0  1.2064970e+03  2.2058340e+02  3.5574821e+02  2.9073104e+02  2.7463372e+02  2.3481933e+03
      100000  1.2009492e+03  2.1981388e+02  3.5319709e+02  2.8910532e+02  2.7326528e+02  2.3363308e+03
      200000  1.2021531e+03  2.1936358e+02  3.5666310e+02  2.8859867e+02  2.7523306e+02  2.3420115e+03
      300000  1.2028975e+03  2.2102645e+02  3.5596487e+02  2.8804464e+02  2.7700050e+02  2.3449340e+03
      400000  1.2005204e+03  2.2053678e+02  3.5572146e+02  2.8725226e+02  2.8029985e+02  2.3443308e+03
      500000  1.2015732e+03  2.2256350e+02  3.5633012e+02  2.8957264e+02  2.7410910e+02  2.3441486e+03
      600000  1.1998462e+03  2.2293107e+02  3.5405276e+02  2.8976607e+02  2.7639143e+02  2.3429875e+03
      700000  1.2019607e+03  2.2091727e+02  3.5937209e+02  2.8765602e+02  2.7540317e+02  2.3453092e+03
      800000  1.1963800e+03  2.2368338e+02  3.5626816e+02  2.8935847e+02  2.7376679e+02  2.3394568e+03
      900000  1.1982188e+03  2.2274105e+02  3.5528695e+02  2.9097795e+02  2.7827463e+02  2.3454993e+03
